Infinitive,ужива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ужива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ужива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ужива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ужива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ужива́юсь
2nd Sing,ужива́ешься
3rd Sing,ужива́ется
1st Pl,ужива́емся
2nd Pl,ужива́етесь
3rd Pl,ужива́ются
Past M,ужива́лся
Past F,ужива́лась
Past N,ужива́лось
Past PL,ужива́лись
Imp S,ужива́йся
Imp PL,ужива́йтесь
