Infinitive,ужаса́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ужаса́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ужаса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ужаса́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ужаса́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ужаса́юсь
2nd Sing,ужаса́ешься
3rd Sing,ужаса́ется
1st Pl,ужаса́емся
2nd Pl,ужаса́етесь
3rd Pl,ужаса́ются
Past M,ужаса́лся
Past F,ужаса́лась
Past N,ужаса́лось
Past PL,ужаса́лись
Imp S,ужаса́йся
Imp PL,ужаса́йтесь
