Infinitive,ужесточи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ужесточи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ужесточённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ужесточи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ужесточи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ужесточу́
2nd Sing,ужесточи́шь
3rd Sing,ужесточи́т
1st Pl,ужесточи́м
2nd Pl,ужесточи́те
3rd Pl,ужесточа́т
Past M,ужесточи́л
Past F,ужесточи́ла
Past N,ужесточи́ло
Past PL,ужесточи́ли
Imp S,ужесточи́
Imp PL,ужесточи́те
