Infinitive,заже́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зажёгшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажёгшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зажгу́сь
2nd Sing,зажжёшься
3rd Sing,зажжётся
1st Pl,зажжёмся
2nd Pl,зажжётесь
3rd Pl,зажгу́тся
Past M,зажёгся
Past F,зажгла́сь
Past N,зажгло́сь
Past PL,зажгли́сь
Imp S,зажги́сь
Imp PL,зажги́тесь
