Infinitive,засе́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засе́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засе́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засе́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засе́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засе́ю
2nd Sing,засе́ешь
3rd Sing,засе́ет
1st Pl,засе́ем
2nd Pl,засе́ете
3rd Pl,засе́ют
Past M,засе́ял
Past F,засе́яла
Past N,засе́яло
Past PL,засе́яли
Imp S,засе́й
Imp PL,засе́йте
