Infinitive,забре́зжить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забре́зживший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забре́зжив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забре́зживши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забре́зжу
2nd Sing,забре́зжишь
3rd Sing,забре́зжит
1st Pl,забре́зжим
2nd Pl,забре́зжите
3rd Pl,забре́зжат
Past M,забре́зжил
Past F,забре́зжила
Past N,забре́зжило
Past PL,забре́зжили
Imp S,забре́зжи
Imp PL,забре́зжите
