Infinitive,заора́ть
Zaliznyak Class,6°b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заора́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заора́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заора́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заору́
2nd Sing,заорёшь
3rd Sing,заорёт
1st Pl,заорём
2nd Pl,заорёте
3rd Pl,заору́т
Past M,заора́л
Past F,заора́ла
Past N,заора́ло
Past PL,заора́ли
Imp S,заори́
Imp PL,заори́те
