Infinitive,задыми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задыми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задымлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задыми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задыми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задымлю́
2nd Sing,задыми́шь
3rd Sing,задыми́т
1st Pl,задыми́м
2nd Pl,задыми́те
3rd Pl,задымя́т
Past M,задыми́л
Past F,задыми́ла
Past N,задыми́ло
Past PL,задыми́ли
Imp S,задыми́
Imp PL,задыми́те
