Infinitive,замкну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,замкну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замкну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,замкну́сь
2nd Sing,замкнёшься
3rd Sing,замкнётся
1st Pl,замкнёмся
2nd Pl,замкнётесь
3rd Pl,замкну́тся
Past M,замкну́лся
Past F,замкну́лась
Past N,замкну́лось
Past PL,замкну́лись
Imp S,замкни́сь
Imp PL,замкни́тесь
