Infinitive,затарато́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затарато́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затарато́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затарато́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затарато́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затарато́рю
2nd Sing,затарато́ришь
3rd Sing,затарато́рит
1st Pl,затарато́рим
2nd Pl,затарато́рите
3rd Pl,затарато́рят
Past M,затарато́рил
Past F,затарато́рила
Past N,затарато́рило
Past PL,затарато́рили
Imp S,затарато́рь
Imp PL,затарато́рьте
