Infinitive,засла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зашлю́
2nd Sing,зашлёшь
3rd Sing,зашлёт
1st Pl,зашлём
2nd Pl,зашлёте
3rd Pl,зашлю́т
Past M,засла́л
Past F,засла́ла
Past N,засла́ло
Past PL,засла́ли
Imp S,зашли́
Imp PL,зашли́те
