Infinitive,забы́ться
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,забы́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забы́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,забу́дусь
2nd Sing,забу́дешься
3rd Sing,забу́дется
1st Pl,забу́демся
2nd Pl,забу́детесь
3rd Pl,забу́дутся
Past M,забы́лся
Past F,забы́лась
Past N,забы́лось
Past PL,забы́лись
Imp S,забу́дься
Imp PL,забу́дьтесь
