Infinitive,загну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́гнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загну́
2nd Sing,загнёшь
3rd Sing,загнёт
1st Pl,загнём
2nd Pl,загнёте
3rd Pl,загну́т
Past M,загну́л
Past F,загну́ла
Past N,загну́ло
Past PL,загну́ли
Imp S,загни́
Imp PL,загни́те
