Infinitive,засопе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засопе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засопе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,засопе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,засоплю́
2nd Sing,засопи́шь
3rd Sing,засопи́т
1st Pl,засопи́м
2nd Pl,засопи́те
3rd Pl,засопя́т
Past M,засопе́л
Past F,засопе́ла
Past N,засопе́ло
Past PL,засопе́ли
Imp S,засопи́
Imp PL,засопи́те
