Infinitive,закрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закрыва́юсь
2nd Sing,закрыва́ешься
3rd Sing,закрыва́ется
1st Pl,закрыва́емся
2nd Pl,закрыва́етесь
3rd Pl,закрыва́ются
Past M,закрыва́лся
Past F,закрыва́лась
Past N,закрыва́лось
Past PL,закрыва́лись
Imp S,закрыва́йся
Imp PL,закрыва́йтесь
