Infinitive,задрема́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,задрема́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задрема́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,задрема́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,задремлю́
2nd Sing,задре́млешь
3rd Sing,задре́млет
1st Pl,задре́млем
2nd Pl,задре́млете
3rd Pl,задре́млют
Past M,задрема́л
Past F,задрема́ла
Past N,задрема́ло
Past PL,задрема́ли
Imp S,задремли́
Imp PL,задремли́те
