Infinitive,задави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зада́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задавлю́
2nd Sing,зада́вишь
3rd Sing,зада́вит
1st Pl,зада́вим
2nd Pl,зада́вите
3rd Pl,зада́вят
Past M,задави́л
Past F,задави́ла
Past N,задави́ло
Past PL,задави́ли
Imp S,задави́
Imp PL,задави́те
