Infinitive,затаи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затаи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затаи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затаю́сь
2nd Sing,затаи́шься
3rd Sing,затаи́тся
1st Pl,затаи́мся
2nd Pl,затаи́тесь
3rd Pl,затая́тся
Past M,затаи́лся
Past F,затаи́лась
Past N,затаи́лось
Past PL,затаи́лись
Imp S,затаи́сь
Imp PL,затаи́тесь
