Infinitive,заспеши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заспеши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заспеши́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заспеши́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заспешу́
2nd Sing,заспеши́шь
3rd Sing,заспеши́т
1st Pl,заспеши́м
2nd Pl,заспеши́те
3rd Pl,заспеша́т
Past M,заспеши́л
Past F,заспеши́ла
Past N,заспеши́ло
Past PL,заспеши́ли
Imp S,заспеши́
Imp PL,заспеши́те
