Infinitive,засели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заселённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заселю́
2nd Sing,засели́шь
3rd Sing,засели́т
1st Pl,засели́м
2nd Pl,засели́те
3rd Pl,заселя́т
Past M,засели́л
Past F,засели́ла
Past N,засели́ло
Past PL,засели́ли
Imp S,засели́
Imp PL,засели́те
