Infinitive,затрави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затрави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затрави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затрави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затравлю́
2nd Sing,затра́вишь
3rd Sing,затра́вит
1st Pl,затра́вим
2nd Pl,затра́вите
3rd Pl,затра́вят
Past M,затрави́л
Past F,затрави́ла
Past N,затрави́ло
Past PL,затрави́ли
Imp S,затрави́
Imp PL,затрави́те
