Infinitive,закрича́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,закрича́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закрича́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,закрича́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,закричу́
2nd Sing,закричи́шь
3rd Sing,закричи́т
1st Pl,закричи́м
2nd Pl,закричи́те
3rd Pl,закрича́т
Past M,закрича́л
Past F,закрича́ла
Past N,закрича́ло
Past PL,закрича́ли
Imp S,закричи́
Imp PL,закричи́те
