Infinitive,заскользи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заскользи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заскользи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заскользи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заскольжу́
2nd Sing,заскользи́шь
3rd Sing,заскользи́т
1st Pl,заскользи́м
2nd Pl,заскользи́те
3rd Pl,заскользя́т
Past M,заскользи́л
Past F,заскользи́ла
Past N,заскользи́ло
Past PL,заскользи́ли
Imp S,заскользи́
Imp PL,заскользи́те
