Infinitive,затормози́ть
Zaliznyak Class,4b[⑧]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затормози́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заторможённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,затормо́женный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,затормози́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,затормози́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,заторможу́
2nd Sing,затормози́шь
3rd Sing,затормози́т
1st Pl,затормози́м
2nd Pl,затормози́те
3rd Pl,затормозя́т
Past M,затормози́л
Past F,затормози́ла
Past N,затормози́ло
Past PL,затормози́ли
Imp S,затормози́
Imp PL,затормози́те
