Infinitive,залепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,залепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зале́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,залепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,залепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,залеплю́
2nd Sing,зале́пишь
3rd Sing,зале́пит
1st Pl,зале́пим
2nd Pl,зале́пите
3rd Pl,зале́пят
Past M,залепи́л
Past F,залепи́ла
Past N,залепи́ло
Past PL,залепи́ли
Imp S,залепи́
Imp PL,залепи́те
