Infinitive,закругля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закругля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закругля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закругля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закругля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закругля́юсь
2nd Sing,закругля́ешься
3rd Sing,закругля́ется
1st Pl,закругля́емся
2nd Pl,закругля́етесь
3rd Pl,закругля́ются
Past M,закругля́лся
Past F,закругля́лась
Past N,закругля́лось
Past PL,закругля́лись
Imp S,закругля́йся
Imp PL,закругля́йтесь
