Infinitive,забе́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забе́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забе́гав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забе́гавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забе́гаю
2nd Sing,забе́гаешь
3rd Sing,забе́гает
1st Pl,забе́гаем
2nd Pl,забе́гаете
3rd Pl,забе́гают
Past M,забе́гал
Past F,забе́гала
Past N,забе́гало
Past PL,забе́гали
Imp S,забе́гай
Imp PL,забе́гайте
