Infinitive,замести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замещу́
2nd Sing,замести́шь
3rd Sing,замести́т
1st Pl,замести́м
2nd Pl,замести́те
3rd Pl,заместя́т
Past M,замести́л
Past F,замести́ла
Past N,замести́ло
Past PL,замести́ли
Imp S,замести́
Imp PL,замести́те
