Infinitive,зачеркну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зачеркну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зачёркнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зачеркну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зачеркну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зачеркну́
2nd Sing,зачеркнёшь
3rd Sing,зачеркнёт
1st Pl,зачеркнём
2nd Pl,зачеркнёте
3rd Pl,зачеркну́т
Past M,зачеркну́л
Past F,зачеркну́ла
Past N,зачеркну́ло
Past PL,зачеркну́ли
Imp S,зачеркни́
Imp PL,зачеркни́те
