Infinitive,зато́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зато́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зато́пав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зато́павши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зато́паю
2nd Sing,зато́паешь
3rd Sing,зато́пает
1st Pl,зато́паем
2nd Pl,зато́паете
3rd Pl,зато́пают
Past M,зато́пал
Past F,зато́пала
Past N,зато́пало
Past PL,зато́пали
Imp S,зато́пай
Imp PL,зато́пайте
