Infinitive,заи́ндеветь
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заи́ндевевший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заи́ндевев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заи́ндевевши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заи́ндевею
2nd Sing,заи́ндевеешь
3rd Sing,заи́ндевеет
1st Pl,заи́ндевеем
2nd Pl,заи́ндевеете
3rd Pl,заи́ндевеют
Past M,заи́ндевел
Past F,заи́ндевела
Past N,заи́ндевело
Past PL,заи́ндевели
Imp S,заи́ндевей
Imp PL,заи́ндевейте
