Infinitive,зае́хать
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зае́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зае́хав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зае́хавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зае́ду
2nd Sing,зае́дешь
3rd Sing,зае́дет
1st Pl,зае́дем
2nd Pl,зае́дете
3rd Pl,зае́дут
Past M,зае́хал
Past F,зае́хала
Past N,зае́хало
Past PL,зае́хали
Imp S,заезжа́й
Imp PL,заезжа́йте
