Infinitive,завали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зава́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,завали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завалю́
2nd Sing,зава́лишь
3rd Sing,зава́лит
1st Pl,зава́лим
2nd Pl,зава́лите
3rd Pl,зава́лят
Past M,завали́л
Past F,завали́ла
Past N,завали́ло
Past PL,завали́ли
Imp S,завали́
Imp PL,завали́те
