Infinitive,загоре́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,загоре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загоре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,загорю́сь
2nd Sing,загори́шься
3rd Sing,загори́тся
1st Pl,загори́мся
2nd Pl,загори́тесь
3rd Pl,загоря́тся
Past M,загоре́лся
Past F,загоре́лась
Past N,загоре́лось
Past PL,загоре́лись
Imp S,загори́сь
Imp PL,загори́тесь
