Infinitive,законопа́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,законопа́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,законопа́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,законопа́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,законопа́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,законопа́чу
2nd Sing,законопа́тишь
3rd Sing,законопа́тит
1st Pl,законопа́тим
2nd Pl,законопа́тите
3rd Pl,законопа́тят
Past M,законопа́тил
Past F,законопа́тила
Past N,законопа́тило
Past PL,законопа́тили
Imp S,законопа́ть
Imp PL,законопа́тьте
