Infinitive,зарыча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зарыча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарыча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зарыча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зарычу́
2nd Sing,зарычи́шь
3rd Sing,зарычи́т
1st Pl,зарычи́м
2nd Pl,зарычи́те
3rd Pl,зарыча́т
Past M,зарыча́л
Past F,зарыча́ла
Past N,зарыча́ло
Past PL,зарыча́ли
Imp S,зарычи́
Imp PL,зарычи́те
