Infinitive,загрусти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загрусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загрусти́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загрусти́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загрущу́
2nd Sing,загрусти́шь
3rd Sing,загрусти́т
1st Pl,загрусти́м
2nd Pl,загрусти́те
3rd Pl,загрустя́т
Past M,загрусти́л
Past F,загрусти́ла
Past N,загрусти́ло
Past PL,загрусти́ли
Imp S,загрусти́
Imp PL,загрусти́те
