Infinitive,засну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,засну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,засну́
2nd Sing,заснёшь
3rd Sing,заснёт
1st Pl,заснём
2nd Pl,заснёте
3rd Pl,засну́т
Past M,засну́л
Past F,засну́ла
Past N,засну́ло
Past PL,засну́ли
Imp S,засни́
Imp PL,засни́те
