Infinitive,загаси́ть
Zaliznyak Class,4c[④]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загаси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зага́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загаси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загаси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загашу́
2nd Sing,зага́сишь
3rd Sing,зага́сит
1st Pl,зага́сим
2nd Pl,зага́сите
3rd Pl,зага́сят
Past M,загаси́л
Past F,загаси́ла
Past N,загаси́ло
Past PL,загаси́ли
Imp S,загаси́
Imp PL,загаси́те
