Infinitive,заиме́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заиме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заиме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заиме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заиме́ю
2nd Sing,заиме́ешь
3rd Sing,заиме́ет
1st Pl,заиме́ем
2nd Pl,заиме́ете
3rd Pl,заиме́ют
Past M,заиме́л
Past F,заиме́ла
Past N,заиме́ло
Past PL,заиме́ли
Imp S,заиме́й
Imp PL,заиме́йте
