Infinitive,зале́зть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зале́зший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зале́зши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зале́зу
2nd Sing,зале́зешь
3rd Sing,зале́зет
1st Pl,зале́зем
2nd Pl,зале́зете
3rd Pl,зале́зут
Past M,зале́з
Past F,зале́зла
Past N,зале́зло
Past PL,зале́зли
Imp S,зале́зь
Imp PL,зале́зьте
