Infinitive,заслони́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заслони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заслонённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заслони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заслони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заслоню́
2nd Sing,заслони́шь
3rd Sing,заслони́т
1st Pl,заслони́м
2nd Pl,заслони́те
3rd Pl,заслоня́т
Past M,заслони́л
Past F,заслони́ла
Past N,заслони́ло
Past PL,заслони́ли
Imp S,заслони́
Imp PL,заслони́те
