Infinitive,заку́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заку́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заку́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заку́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заку́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заку́таю
2nd Sing,заку́таешь
3rd Sing,заку́тает
1st Pl,заку́таем
2nd Pl,заку́таете
3rd Pl,заку́тают
Past M,заку́тал
Past F,заку́тала
Past N,заку́тало
Past PL,заку́тали
Imp S,заку́тай
Imp PL,заку́тайте
