Infinitive,зайти́сь
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заше́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заше́дшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зайду́сь
2nd Sing,зайдёшься
3rd Sing,зайдётся
1st Pl,зайдёмся
2nd Pl,зайдётесь
3rd Pl,зайду́тся
Past M,зашёлся
Past F,зашла́сь
Past N,зашло́сь
Past PL,зашли́сь
Imp S,зайди́сь
Imp PL,зайди́тесь
