Infinitive,засори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засорю́
2nd Sing,засори́шь
3rd Sing,засори́т
1st Pl,засори́м
2nd Pl,засори́те
3rd Pl,засоря́т
Past M,засори́л
Past F,засори́ла
Past N,засори́ло
Past PL,засори́ли
Imp S,засори́
Imp PL,засори́те
