Infinitive,заспо́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заспо́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заспо́рив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заспо́ривши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заспо́рю
2nd Sing,заспо́ришь
3rd Sing,заспо́рит
1st Pl,заспо́рим
2nd Pl,заспо́рите
3rd Pl,заспо́рят
Past M,заспо́рил
Past F,заспо́рила
Past N,заспо́рило
Past PL,заспо́рили
Imp S,заспо́рь
Imp PL,заспо́рьте
