Infinitive,задохну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,задохну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задохну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,задохну́сь
2nd Sing,задохнёшься
3rd Sing,задохнётся
1st Pl,задохнёмся
2nd Pl,задохнётесь
3rd Pl,задохну́тся
Past M,задохну́лся
Past F,задохну́лась
Past N,задохну́лось
Past PL,задохну́лись
Imp S,задохни́сь
Imp PL,задохни́тесь
