Infinitive,закру́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закру́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закру́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закру́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закру́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,закру́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,закру́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,закру́чиваю
2nd Sing,закру́чиваешь
3rd Sing,закру́чивает
1st Pl,закру́чиваем
2nd Pl,закру́чиваете
3rd Pl,закру́чивают
Past M,закру́чивал
Past F,закру́чивала
Past N,закру́чивало
Past PL,закру́чивали
Imp S,закру́чивай
Imp PL,закру́чивайте
