Infinitive,запа́чкать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запа́чкавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запа́чканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запа́чкав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запа́чкавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запа́чкаю
2nd Sing,запа́чкаешь
3rd Sing,запа́чкает
1st Pl,запа́чкаем
2nd Pl,запа́чкаете
3rd Pl,запа́чкают
Past M,запа́чкал
Past F,запа́чкала
Past N,запа́чкало
Past PL,запа́чкали
Imp S,запа́чкай
Imp PL,запа́чкайте
