Infinitive,зама́хиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зама́хивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зама́хивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зама́хиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зама́хивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зама́хиваюсь
2nd Sing,зама́хиваешься
3rd Sing,зама́хивается
1st Pl,зама́хиваемся
2nd Pl,зама́хиваетесь
3rd Pl,зама́хиваются
Past M,зама́хивался
Past F,зама́хивалась
Past N,зама́хивалось
Past PL,зама́хивались
Imp S,зама́хивайся
Imp PL,зама́хивайтесь
