Infinitive,зашипе́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зашипе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашипе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зашипе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зашиплю́
2nd Sing,зашипи́шь
3rd Sing,зашипи́т
1st Pl,зашипи́м
2nd Pl,зашипи́те
3rd Pl,зашипя́т
Past M,зашипе́л
Past F,зашипе́ла
Past N,зашипе́ло
Past PL,зашипе́ли
Imp S,зашипи́
Imp PL,зашипи́те
