Infinitive,захло́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,захло́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захло́пав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,захло́павши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,захло́паю
2nd Sing,захло́паешь
3rd Sing,захло́пает
1st Pl,захло́паем
2nd Pl,захло́паете
3rd Pl,захло́пают
Past M,захло́пал
Past F,захло́пала
Past N,захло́пало
Past PL,захло́пали
Imp S,захло́пай
Imp PL,захло́пайте
