Infinitive,замеша́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замеша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заме́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замеша́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замеша́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замеша́ю
2nd Sing,замеша́ешь
3rd Sing,замеша́ет
1st Pl,замеша́ем
2nd Pl,замеша́ете
3rd Pl,замеша́ют
Past M,замеша́л
Past F,замеша́ла
Past N,замеша́ло
Past PL,замеша́ли
Imp S,замеша́й
Imp PL,замеша́йте
