Infinitive,закопти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закопти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закопчённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закопти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закопти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закопчу́
2nd Sing,закопти́шь
3rd Sing,закопти́т
1st Pl,закопти́м
2nd Pl,закопти́те
3rd Pl,закоптя́т
Past M,закопти́л
Past F,закопти́ла
Past N,закопти́ло
Past PL,закопти́ли
Imp S,закопти́
Imp PL,закопти́те
