Infinitive,замыка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,замыка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,замыка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замыка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,замыка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замыка́юсь
2nd Sing,замыка́ешься
3rd Sing,замыка́ется
1st Pl,замыка́емся
2nd Pl,замыка́етесь
3rd Pl,замыка́ются
Past M,замыка́лся
Past F,замыка́лась
Past N,замыка́лось
Past PL,замыка́лись
Imp S,замыка́йся
Imp PL,замыка́йтесь
