Infinitive,застегну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,застегну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застёгнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застегну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,застегну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,застегну́
2nd Sing,застегнёшь
3rd Sing,застегнёт
1st Pl,застегнём
2nd Pl,застегнёте
3rd Pl,застегну́т
Past M,застегну́л
Past F,застегну́ла
Past N,застегну́ло
Past PL,застегну́ли
Imp S,застегни́
Imp PL,застегни́те
