Infinitive,задра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,задра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,задра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,задеру́
2nd Sing,задерёшь
3rd Sing,задерёт
1st Pl,задерём
2nd Pl,задерёте
3rd Pl,задеру́т
Past M,задра́л
Past F,задрала́
Past N,задра́ло
Past PL,задра́ли
Imp S,задери́
Imp PL,задери́те
