Infinitive,захлебну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,захлебну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,захлебну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,захлебну́сь
2nd Sing,захлебнёшься
3rd Sing,захлебнётся
1st Pl,захлебнёмся
2nd Pl,захлебнётесь
3rd Pl,захлебну́тся
Past M,захлебну́лся
Past F,захлебну́лась
Past N,захлебну́лось
Past PL,захлебну́лись
Imp S,захлебни́сь
Imp PL,захлебни́тесь
