Infinitive,завяза́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,завяза́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завяза́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,завяжу́сь
2nd Sing,завя́жешься
3rd Sing,завя́жется
1st Pl,завя́жемся
2nd Pl,завя́жетесь
3rd Pl,завя́жутся
Past M,завяза́лся
Past F,завяза́лась
Past N,завяза́лось
Past PL,завяза́лись
Imp S,завяжи́сь
Imp PL,завяжи́тесь
