Infinitive,закрепля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,закрепля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,закрепля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закрепля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,закрепля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закрепля́юсь
2nd Sing,закрепля́ешься
3rd Sing,закрепля́ется
1st Pl,закрепля́емся
2nd Pl,закрепля́етесь
3rd Pl,закрепля́ются
Past M,закрепля́лся
Past F,закрепля́лась
Past N,закрепля́лось
Past PL,закрепля́лись
Imp S,закрепля́йся
Imp PL,закрепля́йтесь
