Infinitive,запи́ть
Zaliznyak Class,11b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запи́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запью́
2nd Sing,запьёшь
3rd Sing,запьёт
1st Pl,запьём
2nd Pl,запьёте
3rd Pl,запью́т
Past M,запи́л
Past F,запила́
Past N,запи́ло
Past PL,запи́ли
Imp S,запе́й
Imp PL,запе́йте
