Infinitive,заночева́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заночева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заночева́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заночева́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заночу́ю
2nd Sing,заночу́ешь
3rd Sing,заночу́ет
1st Pl,заночу́ем
2nd Pl,заночу́ете
3rd Pl,заночу́ют
Past M,заночева́л
Past F,заночева́ла
Past N,заночева́ло
Past PL,заночева́ли
Imp S,заночу́й
Imp PL,заночу́йте
