Infinitive,запомина́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запомина́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запомина́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запомина́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запомина́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запомина́юсь
2nd Sing,запомина́ешься
3rd Sing,запомина́ется
1st Pl,запомина́емся
2nd Pl,запомина́етесь
3rd Pl,запомина́ются
Past M,запомина́лся
Past F,запомина́лась
Past N,запомина́лось
Past PL,запомина́лись
Imp S,запомина́йся
Imp PL,запомина́йтесь
