Infinitive,заме́длить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заме́дливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заме́дленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заме́длив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заме́дливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заме́длю
2nd Sing,заме́длишь
3rd Sing,заме́длит
1st Pl,заме́длим
2nd Pl,заме́длите
3rd Pl,заме́длят
Past M,заме́длил
Past F,заме́длила
Past N,заме́длило
Past PL,заме́длили
Imp S,заме́дли
Imp PL,заме́длите
